path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,country,region,language./dump/2012\05\260-gendirektorrtrsandreyromanchenkooproblemahzamenitsifrovihtvstandartov.html.txt,,,,"Гендиректор РТРС Андрей Романченко о проблемах замены цифровых ТВ-стандартов",25.05.2012,публицистика,,,nashi_intervu,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/nashi_intervu/260-gendirektorrtrsandreyromanchenkooproblemahzamenitsifrovihtvstandartov.html,"Унечская газета",,2012,газета,Россия,ru
./dump/2014\02\961-etudatunezabit.html.txt,,,,"ЭТУ ДАТУ НЕ ЗАБЫТЬ",19.02.2014,публицистика,,,misc,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/raznoe/paamyat/961-etudatunezabit.html,"Унечская газета",,2014,газета,Россия,ru
./dump/2013\02\546-VCHESTPOGIBSHIHZEMLYAKOV.html.txt,,,,"В ЧЕСТЬ ПОГИБШИХ ЗЕМЛЯКОВ",28.02.2013,публицистика,,,misc,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/raznoe/paamyat/546-VCHESTPOGIBSHIHZEMLYAKOV.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2013\02\511-PRYAMOVYABLOCHKO.html.txt,,,,"ПРЯМО В «ЯБЛОЧКО»",5.02.2013,публицистика,,,ludi,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/ludi/znay_nashih/511-PRYAMOVYABLOCHKO.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2012\10\379-VDRUZHBESOSPORTOM.html.txt,,,,"В ДРУЖБЕ СО СПОРТОМ",2.10.2012,публицистика,,,misc,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/raznoe/379-VDRUZHBESOSPORTOM.html,"Унечская газета",,2012,газета,Россия,ru
./dump/2015\02\1375-KUBOKIGRAMOTI%E2%80%94SILNEYSHIM.html.txt,,,,"КУБОК И ГРАМОТЫ—СИЛЬНЕЙШИМ",9.02.2015,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1375-KUBOKIGRAMOTI—SILNEYSHIM.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2013\03\559-SILNIESMELIESPORTIVNIE.html.txt,,,,"СИЛЬНЫЕ, СМЕЛЫЕ, СПОРТИВНЫЕ",7.03.2013,публицистика,,,kultura,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/kultura/patrioticheskoe_vospitanie/559-SILNIESMELIESPORTIVNIE.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2015\10\1794-UCHASTVOVALIIPOBEZHDALI.html.txt,,,,"УЧАСТВОВАЛИ И ПОБЕЖДАЛИ",16.10.2015,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1794-UCHASTVOVALIIPOBEZHDALI.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2014\10\1204-POBEDIZOLOTOYOSENI.html.txt,,,,"ПОБЕДЫ ЗОЛОТОЙ ОСЕНИ",20.10.2014,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1204-POBEDIZOLOTOYOSENI.html,"Унечская газета",,2014,газета,Россия,ru
./dump/2012\10\405-TENNISDLYASHKOLNIKOV.html.txt,,,,"ТЕННИС ДЛЯ ШКОЛЬНИКОВ",26.10.2012,публицистика,,,misc,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/raznoe/405-TENNISDLYASHKOLNIKOV.html,"Унечская газета",,2012,газета,Россия,ru
./dump/2015\05\1587-Sorevnovalisbudushchieprizivniki.html.txt,,,,"Соревновались будущие призывники",21.05.2015,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1587-Sorevnovalisbudushchieprizivniki.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2015\03\1437-VOLEYBOLISTIVERNITRADITSII.html.txt,,,,"ВОЛЕЙБОЛИСТЫ ВЕРНЫ ТРАДИЦИИ",13.03.2015,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1437-VOLEYBOLISTIVERNITRADITSII.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2014\04\1070-VOSEMPOBED%E2%80%94ESHCHENEPREDEL.html.txt,,,,"ВОСЕМЬ ПОБЕД—ЕЩЁ НЕ ПРЕДЕЛ",11.04.2014,публицистика,,,ludi,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/ludi/znay_nashih/1070-VOSEMPOBED—ESHCHENEPREDEL.html,"Унечская газета",,2014,газета,Россия,ru
./dump/2013\03\581-PERVIENAVSEROSSIYSKOMTURNIRE.html.txt,,,,"ПЕРВЫЕ НА ВСЕРОССИЙСКОМ ТУРНИРЕ",22.03.2013,публицистика,,,ludi,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/ludi/znay_nashih/581-PERVIENAVSEROSSIYSKOMTURNIRE.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2014\01\876-VELIKOLEPNAYASEMERKAIVRATAR.html.txt,,,,"ВЕЛИКОЛЕПНАЯ СЕМЁРКА И ВРАТАРЬ",9.01.2014,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/876-VELIKOLEPNAYASEMERKAIVRATAR.html,"Унечская газета",,2014,газета,Россия,ru
./dump/2012\07\306-UNECHSKIEFUTBOLISTIZAYAVLENINACHEMPIONATROSSII.html.txt,,,,"УНЕЧСКИЕ ФУТБОЛИСТЫ ЗАЯВЛЕНЫ НА ЧЕМПИОНАТ РОССИИ",4.07.2012,публицистика,,,ludi,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/ludi/znay_nashih/306-UNECHSKIEFUTBOLISTIZAYAVLENINACHEMPIONATROSSII.html,"Унечская газета",,2012,газета,Россия,ru
./dump/2013\12\856-SPORTIVNIEPOBEDI.html.txt,,,,"СПОРТИВНЫЕ ПОБЕДЫ",16.12.2013,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/856-SPORTIVNIEPOBEDI.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2015\03\1479-POBEDIVKOPILKEVOSPITANNIKOVELEKTRONA.html.txt,,,,"ПОБЕДЫ В КОПИЛКЕ ВОСПИТАННИКОВ «ЭЛЕКТРОНА»",30.03.2015,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1479-POBEDIVKOPILKEVOSPITANNIKOVELEKTRONA.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2013\11\832-PUTKPOBEDELEZHITCHEREZTRENIROVKI.html.txt,,,,"ПУТЬ К ПОБЕДЕ ЛЕЖИТ ЧЕРЕЗ ТРЕНИРОВКИ",27.11.2013,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/832-PUTKPOBEDELEZHITCHEREZTRENIROVKI.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2013\03\552-CHETIREZOLOTIH.html.txt,,,,"ЧЕТЫРЕ «ЗОЛОТЫХ»",1.03.2013,публицистика,,,ludi,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/ludi/znay_nashih/552-CHETIREZOLOTIH.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2015\04\1554-POBEDITELISHAHMATNIHBATALIY.html.txt,,,,"ПОБЕДИТЕЛИ ШАХМАТНЫХ БАТАЛИЙ",30.04.2015,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1554-POBEDITELISHAHMATNIHBATALIY.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2013\02\506-UVLECHSHAHMATAMI.html.txt,,,,"УВЛЕЧЬ ШАХМАТАМИ",1.02.2013,публицистика,,,vlast,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/vlast/gubernskie_vesti/506-UVLECHSHAHMATAMI.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2013\02\514-LIZHNYAROSSIIZHDETUCHASTNIKOV.html.txt,,,,"«ЛЫЖНЯ РОССИИ» ЖДЁТ УЧАСТНИКОВ!",8.02.2013,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/514-LIZHNYAROSSIIZHDETUCHASTNIKOV.html,"Унечская газета",,2013,газета,Россия,ru
