uid,sex,age,"langs"
242098556,2,14,""
242055140,1,15,""
241638044,1,16,""
241340271,2,18,""
240047441,2,20,""
239660368,2,,""
239278847,2,15,""
239099802,1,,""
239064184,2,,""
238984460,1,15,""
238420658,2,16,""
238233499,2,28,""
236535324,2,16,"English"
236417172,2,,""
236318345,2,17,""
235053361,2,15,""
234789795,1,,""
234509570,1,23,""
233673104,1,,""
233444232,2,,""
233216530,2,13,""
233000284,2,13,""
232593519,1,,""
231935871,2,15,""
361479871,2,,""
231329975,2,,""
231221243,2,,""
231191043,2,,"Русский,English"
230449313,2,,"Русский,English"
230078702,1,,""
229993685,2,,""
229963960,2,16,""
229873179,2,15,""
229599299,1,16,""
229433532,2,23,""
228949435,2,,""
228759927,2,24,""
228265963,1,114,""
226928488,1,,""
226623066,1,17,"Русский,English"
226617792,2,20,""
226338589,2,15,""
225148466,1,23,""
224926417,1,16,"Русский,English"
295076417,2,,""
224458754,2,,""
224028707,1,16,"Русский,English"
223867493,2,,""
223752231,1,,""
223742815,2,23,""
223196200,1,115,""
221569615,1,22,""
221335520,2,23,""
283230520,2,,""
221272019,1,37,""
252245019,1,14,""
220745416,2,16,""
220603104,1,17,"Русский,Українська,English,Deutsch,Български"
220302195,1,,""
219799799,2,23,""
219764605,1,,""
271201605,2,21,""
219690034,2,16,""
219027471,1,16,""
218781477,1,37,""
264583477,1,,""
218180896,2,20,"Русский,ܐܪܡܝܐ,भील भाषा"
218111242,2,,""
246525242,2,17,""
217796760,2,19,""
216654415,2,,"Русский,Deutsch"
215662082,1,18,""
215280845,2,,""
215237230,1,15,""
214881977,1,15,""
214808213,2,15,""
214033273,2,16,""
213857820,1,,""
328983820,1,40,""
213339987,2,16,""
258673987,1,15,""
213177666,2,,""
221429666,2,,""
213010989,1,19,""
212985874,2,17,"Русский,English,Українська"
212860772,1,,""
212371594,1,,""
212214787,2,16,""
211879887,2,,""
211745214,1,14,"Русский,English"
211537944,2,,""
210605880,2,25,""
210201083,2,16,""
296212083,2,25,""
209845088,2,16,""
209481481,2,,""
208700302,2,,""
208592218,2,16,""
208551380,1,,""
207730294,2,,""
281347294,1,13,""
207497075,1,,""
207433314,2,17,""
207273311,1,35,""
207252454,1,,""
209677454,2,,"Русский,English"
206909411,2,28,""
206903450,1,37,""
206892719,2,,""
206507457,2,,""
206113799,2,,""
205676272,2,,""
205129540,1,17,""
204968855,1,,""
235011855,1,16,""
203670808,1,,""
203670666,1,17,""
203459366,1,16,""
203227267,1,17,""
235297267,2,17,""
203163701,2,,""
203161875,1,,""
202940147,1,14,""
201546529,2,,""
201432207,2,17,""
226465207,2,18,""
222995207,1,,""
201410665,2,16,"Русский,Français"
200864907,2,,""
200844393,2,,""
200740776,2,17,""
200570779,2,17,""
200466175,1,26,""
200366084,1,14,""
200300279,1,,""
234438279,1,20,""
270016279,1,,""
200112708,2,17,""
200003690,2,,""
199688716,2,13,""
199549283,1,,""
199519023,2,30,""
295958023,1,,""
199440336,2,20,""
198684095,2,36,""
198417067,2,,""
198162626,2,,""
198135516,2,13,""
198089758,2,22,""
197292344,2,,""
196548725,2,16,""
196544345,1,20,""
196322964,1,,""
196244841,2,,"Русский,Bali,English,ქართული,МагӀарул мацӀ,Dangme,Azərbaycan dili,العربية,Беларуская (тарашкевiца),汉语"
195628466,2,,""
232568466,1,,""
291224466,2,,""
195096029,1,,"Русский,English"
194923623,2,17,""
194861542,2,,""
194758833,1,,""
194375845,2,21,""
193328067,2,,""
193327116,2,,""
214793116,2,26,""
269182116,2,19,""
193195387,2,,""
192703901,1,,""
192293630,2,27,""
191854072,1,,""
191817330,2,,""
191796515,2,,""
191486404,1,,""
191377764,2,25,""
191175953,1,28,""
191091182,1,30,""
243250182,1,16,"Русский,Русский жестовый"
190908472,1,,""
190843710,1,15,""
190550093,2,,""
190323597,2,,""
189781544,1,,""
332692544,1,15,""
189600543,2,17,""
232914543,1,27,""
189450701,2,33,""
286755701,1,,""
189256280,1,13,""
189178487,1,,""
188974895,1,,""
188475111,2,,""
196872111,2,,""
187814385,2,17,""
187770262,1,,""
190583262,2,,""
187609736,1,,""
187240433,1,,""
187162371,2,22,"Русский,English,Deutsch"
186559151,2,23,""
186397786,2,,""
185863422,1,31,""
185385003,2,,""
185291837,2,20,""
184929574,1,,""
184755754,2,19,""
184312086,2,14,""
183450072,2,29,""
183214813,2,,""
267734813,1,15,""
182783939,2,,""
182225250,1,46,""
182140456,2,,""
222315456,1,,""
182069763,2,,"Русский,English"
182036837,2,23,""
182019137,1,,""
260956137,1,,""
322730137,2,29,""
182003369,2,17,""
181844253,2,,"Русский,English"
225532253,2,,""
181489571,2,15,""
180855335,1,,""
180832607,2,17,""
180793285,2,20,""
180637716,2,17,""
180588866,1,18,""
180491693,2,,"Русский,Deutsch"
302698693,1,,""
323362693,1,,""
180476294,2,17,""
180428744,1,55,""
219798744,2,15,""
180036601,1,16,""
181959601,2,20,""
222437601,1,53,""
179924417,2,20,""
179359301,2,17,""
179294212,1,,""
179054597,1,38,""
205017597,1,16,""
180235597,1,,""
178783133,1,34,""
178736381,1,,""
178584129,2,33,""
178115197,2,,""
315352197,2,28,""
226058197,2,15,""
178001777,1,16,""
313897777,2,13,""
177911406,1,14,""
177788013,1,28,""
223122013,2,,"Русский,English"
177631485,2,23,""
177582858,1,,""
177552724,2,27,""
197050724,2,24,""
181717724,1,17,""
177546391,1,16,""
210032391,2,16,""
177495053,2,,""
177445550,1,,""
177373827,1,,""
246762827,2,,"Русский,English"
177266802,2,,""
176582721,1,,""
176380163,2,,""
175731092,1,25,""
175679624,2,,""
175284141,1,,""
175223783,2,18,""
188721783,2,,""
174985583,2,16,""
220383583,1,,""
174455758,2,,""
173713381,2,23,""
173292491,2,36,""
229262491,2,,""
173131469,2,17,""
172603434,2,16,""
220208434,2,19,""
172003863,2,,""
171988892,1,15,""
171832979,2,,""
171748473,2,,""
171300880,1,43,""
170745842,2,,""
170639954,1,,""
170458506,1,,""
314705506,2,18,""
170141676,2,,""
169977947,1,,""
169540308,2,23,""
179530308,1,17,""
169531737,2,30,""
168899981,2,17,""
168820974,2,,""
168783484,1,,"Русский,English"
168411598,2,26,""
298061598,1,,""
184533598,1,,""
167855165,2,26,""
167375711,1,28,""
167342751,1,28,""
183198751,2,,"Русский,Deutsch"
166968919,2,25,""
166686801,2,23,""
166396119,2,18,""
164767027,2,,""
164394518,2,,""
164171185,2,,""
163734401,1,,""
163599565,1,,""
163347550,2,24,""
163293503,1,17,"Русский,English,Deutsch,日本語"
